epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,113.957,1.06759,0.63674,0.96565,0.96388,0.95027,0.97928,0.50938,1.59634,0.69946,1.09131,0.000622615,0.000622615,0.000622615
59,115.801,1.08603,0.62586,0.97829,0.97707,0.95601,0.98383,0.52078,1.53312,0.67797,1.06784,0.000608468,0.000608468,0.000608468
60,117.674,1.0517,0.62206,0.97044,0.98159,0.9529,0.9832,0.52035,1.51519,0.66463,1.05996,0.000594321,0.000594321,0.000594321
61,119.5,1.04318,0.61752,0.94704,0.9891,0.95274,0.98322,0.51766,1.56988,0.66482,1.07391,0.000580174,0.000580174,0.000580174
62,121.343,1.07953,0.62969,0.96065,0.97206,0.96526,0.98191,0.52751,1.6037,0.68318,1.089,0.000566027,0.000566027,0.000566027
63,123.158,1.0465,0.62189,0.95264,0.97568,0.9375,0.97812,0.52264,1.53168,0.67778,1.06554,0.00055188,0.00055188,0.00055188
64,124.964,1.05996,0.61319,0.96837,0.96149,0.95777,0.9791,0.50593,1.61051,0.68169,1.1016,0.000537733,0.000537733,0.000537733
65,126.768,0.98218,0.60106,0.97383,0.98629,0.94789,0.97949,0.52238,1.5655,0.66338,1.08026,0.000523586,0.000523586,0.000523586
66,128.647,1.03079,0.5961,0.96624,0.99422,0.97124,0.99411,0.52525,1.57363,0.66955,1.08148,0.000509438,0.000509438,0.000509438
67,130.49,1.02977,0.60878,0.96568,0.99537,0.96648,0.99297,0.51496,1.6245,0.68365,1.10164,0.000495291,0.000495291,0.000495291
68,132.438,1.01413,0.57537,0.94831,0.98721,0.96402,0.99381,0.52316,1.59563,0.6739,1.09493,0.000481144,0.000481144,0.000481144
69,134.227,1.02498,0.6047,0.95782,0.99145,0.97353,0.99355,0.52508,1.56771,0.67137,1.08513,0.000466997,0.000466997,0.000466997
70,136.027,0.98465,0.58363,0.9268,0.99741,0.98378,0.99441,0.5255,1.55373,0.65788,1.08649,0.00045285,0.00045285,0.00045285
71,137.785,1.01694,0.57101,0.96497,0.98823,0.97622,0.99384,0.51503,1.60542,0.65857,1.10978,0.000438703,0.000438703,0.000438703
72,139.553,0.95206,0.54091,0.93081,0.9795,0.98907,0.99409,0.53568,1.54699,0.62938,1.07931,0.000424556,0.000424556,0.000424556
73,141.328,0.99499,0.5704,0.92591,0.97952,0.99022,0.99439,0.50998,1.658,0.6444,1.12414,0.000410409,0.000410409,0.000410409
74,143.431,1.02298,0.58612,0.93121,0.99508,0.97508,0.99384,0.50506,1.70478,0.66048,1.14516,0.000396262,0.000396262,0.000396262
75,145.443,0.94983,0.54843,0.94171,0.99406,0.97013,0.99384,0.52205,1.59647,0.63247,1.09222,0.000382115,0.000382115,0.000382115
76,147.227,1.00482,0.58349,0.95248,0.97531,0.97686,0.99221,0.53144,1.58193,0.63904,1.08132,0.000367967,0.000367967,0.000367967
77,149.103,0.97797,0.55416,0.9426,0.97417,0.97719,0.99244,0.53469,1.5823,0.63,1.08311,0.00035382,0.00035382,0.00035382
78,151.043,0.93701,0.5547,0.93372,0.98082,0.97546,0.99351,0.54507,1.5356,0.62514,1.06788,0.000339673,0.000339673,0.000339673
79,152.821,0.92046,0.54193,0.92028,0.97001,0.98987,0.99409,0.52458,1.58944,0.64034,1.08871,0.000325526,0.000325526,0.000325526
80,154.577,1.0211,0.57196,0.94444,0.97192,0.98673,0.99379,0.51734,1.58764,0.63957,1.09568,0.000311379,0.000311379,0.000311379
81,156.33,0.89599,0.53102,0.91575,0.97262,0.9649,0.98323,0.52588,1.59415,0.63825,1.10017,0.000297232,0.000297232,0.000297232
82,158.318,0.915,0.52762,0.91731,0.98306,0.97509,0.99241,0.52202,1.61576,0.65406,1.11111,0.000283085,0.000283085,0.000283085
83,160.1,0.90936,0.52998,0.92354,0.97525,0.97245,0.9911,0.51677,1.61521,0.6489,1.10809,0.000268938,0.000268938,0.000268938
84,161.906,0.97297,0.55266,0.91668,0.97532,0.97459,0.99194,0.53512,1.56149,0.65154,1.09524,0.000254791,0.000254791,0.000254791
85,163.743,0.87865,0.52261,0.91271,0.98739,0.97029,0.99306,0.52837,1.54666,0.64615,1.10165,0.000240644,0.000240644,0.000240644
86,165.546,0.89594,0.52073,0.91818,0.99368,0.95923,0.99272,0.53279,1.53573,0.64797,1.09027,0.000226497,0.000226497,0.000226497
87,167.453,0.88568,0.5124,0.93036,0.98228,0.97498,0.99268,0.52717,1.56063,0.64636,1.10357,0.000212349,0.000212349,0.000212349
88,169.305,0.87368,0.49301,0.90248,0.98269,0.98361,0.9929,0.53892,1.55533,0.63786,1.09836,0.000198202,0.000198202,0.000198202
89,171.123,0.90852,0.51969,0.91106,0.9826,0.98366,0.99288,0.54885,1.51746,0.62351,1.07228,0.000184055,0.000184055,0.000184055
90,173.021,0.87422,0.50669,0.9107,0.98081,0.98428,0.99258,0.54532,1.5291,0.62221,1.07191,0.000169908,0.000169908,0.000169908
91,179.401,0.93597,0.56754,0.91132,0.97978,0.98074,0.99177,0.53252,1.56117,0.63029,1.09129,0.000155761,0.000155761,0.000155761
92,181.353,0.9361,0.54179,0.90438,0.97037,0.96914,0.98891,0.52977,1.56499,0.63527,1.08928,0.000141614,0.000141614,0.000141614
93,183.3,0.87727,0.52709,0.92525,0.9731,0.96875,0.98676,0.52998,1.55643,0.64024,1.08233,0.000127467,0.000127467,0.000127467
94,185.148,0.89192,0.52562,0.91008,0.97464,0.96875,0.98623,0.53319,1.55193,0.63681,1.08434,0.00011332,0.00011332,0.00011332
95,186.897,0.84012,0.50702,0.90223,0.97507,0.96431,0.98605,0.52628,1.56206,0.63004,1.0932,9.91726e-05,9.91726e-05,9.91726e-05
96,188.894,0.86198,0.50708,0.89711,0.98544,0.97256,0.98679,0.52305,1.56854,0.6349,1.09693,8.50255e-05,8.50255e-05,8.50255e-05
97,191.022,0.88322,0.51932,0.93591,0.98663,0.9732,0.98702,0.52206,1.56433,0.63282,1.09544,7.08784e-05,7.08784e-05,7.08784e-05
98,192.961,0.81805,0.49949,0.88244,0.99775,0.97491,0.98878,0.52914,1.55355,0.62799,1.09138,5.67313e-05,5.67313e-05,5.67313e-05
99,194.891,0.81608,0.49574,0.90327,0.99739,0.97363,0.98905,0.53598,1.54796,0.62059,1.09243,4.25842e-05,4.25842e-05,4.25842e-05
100,196.893,0.8561,0.51831,0.91155,0.99633,0.97386,0.98936,0.53294,1.54508,0.62112,1.09393,2.84371e-05,2.84371e-05,2.84371e-05
