epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,542.424,0.59503,0.29655,0.0017,0.9293,0.92452,0.95502,0.69327,0.97456,0.42571,0.00311,0.000566027,0.000566027,0.000566027
63,550.083,0.59235,0.27378,0.0016,0.94256,0.90903,0.95886,0.69392,0.98532,0.41431,0.00315,0.00055188,0.00055188,0.00055188
64,557.751,0.60283,0.27249,0.00166,0.96746,0.90357,0.95844,0.70277,0.9645,0.4152,0.00307,0.000537733,0.000537733,0.000537733
65,565.673,0.5992,0.2882,0.00167,0.9413,0.93008,0.96529,0.69475,0.96234,0.4074,0.00309,0.000523586,0.000523586,0.000523586
66,573.466,0.59623,0.28103,0.00158,0.96735,0.89448,0.96418,0.70411,0.94325,0.39785,0.00297,0.000509438,0.000509438,0.000509438
67,581.217,0.59669,0.27507,0.00164,0.95424,0.90592,0.96246,0.69451,0.97232,0.41502,0.00311,0.000495291,0.000495291,0.000495291
68,588.97,0.63021,0.29848,0.00172,0.95371,0.88415,0.95697,0.69774,0.98084,0.39445,0.00317,0.000481144,0.000481144,0.000481144
69,596.78,0.5974,0.28063,0.00161,0.94811,0.89932,0.96684,0.6997,0.95417,0.37504,0.00307,0.000466997,0.000466997,0.000466997
70,604.674,0.56912,0.26738,0.00158,0.9379,0.91773,0.96302,0.69858,0.94785,0.40292,0.00304,0.00045285,0.00045285,0.00045285
71,612.349,0.5505,0.26011,0.00147,0.92999,0.92248,0.9518,0.68583,0.96725,0.42556,0.00314,0.000438703,0.000438703,0.000438703
72,620.25,0.57184,0.26597,0.00164,0.91264,0.93203,0.95873,0.69155,0.95804,0.43024,0.00305,0.000424556,0.000424556,0.000424556
73,628.301,0.57143,0.25656,0.00156,0.97243,0.88495,0.9651,0.69501,0.97752,0.39581,0.00312,0.000410409,0.000410409,0.000410409
74,636.579,0.56109,0.25514,0.00152,0.94383,0.92444,0.96635,0.70703,0.95063,0.37433,0.00301,0.000396262,0.000396262,0.000396262
75,644.908,0.55073,0.26912,0.00147,0.93844,0.93878,0.96895,0.70195,0.94369,0.36835,0.00307,0.000382115,0.000382115,0.000382115
76,652.664,0.54392,0.26017,0.00144,0.96626,0.90584,0.96592,0.70556,0.94594,0.39487,0.00301,0.000367967,0.000367967,0.000367967
77,660.464,0.56589,0.27012,0.00156,0.95522,0.90432,0.96593,0.70539,0.93653,0.39042,0.00301,0.00035382,0.00035382,0.00035382
78,668.334,0.55721,0.27045,0.00149,0.95612,0.91277,0.97103,0.70685,0.939,0.3631,0.00303,0.000339673,0.000339673,0.000339673
79,676.025,0.52181,0.23755,0.0015,0.95392,0.93136,0.96568,0.69999,0.94969,0.37501,0.0031,0.000325526,0.000325526,0.000325526
80,683.854,0.52517,0.25607,0.0015,0.97259,0.90057,0.95977,0.70361,0.93118,0.3878,0.00298,0.000311379,0.000311379,0.000311379
81,691.546,0.51901,0.24528,0.0013,0.97547,0.87703,0.95928,0.70996,0.93921,0.37774,0.00303,0.000297232,0.000297232,0.000297232
82,699.337,0.55312,0.26167,0.0015,0.95909,0.88126,0.96448,0.70599,0.93939,0.3792,0.00306,0.000283085,0.000283085,0.000283085
83,707.104,0.53153,0.24898,0.0014,0.94661,0.89587,0.96565,0.70913,0.93854,0.37278,0.00303,0.000268938,0.000268938,0.000268938
84,714.884,0.53577,0.24031,0.00135,0.96712,0.89546,0.96478,0.69847,0.9422,0.3944,0.00304,0.000254791,0.000254791,0.000254791
85,722.836,0.5116,0.23994,0.00137,0.9528,0.89816,0.96093,0.70102,0.94391,0.38108,0.00305,0.000240644,0.000240644,0.000240644
86,730.669,0.52749,0.25111,0.00142,0.96424,0.89559,0.96204,0.70474,0.9429,0.37663,0.00303,0.000226497,0.000226497,0.000226497
87,738.509,0.53903,0.24314,0.0014,0.95998,0.917,0.96425,0.70897,0.93395,0.3507,0.00302,0.000212349,0.000212349,0.000212349
88,746.359,0.52532,0.24763,0.00141,0.98419,0.87984,0.96458,0.70765,0.94048,0.35563,0.00304,0.000198202,0.000198202,0.000198202
89,754.322,0.52768,0.24217,0.0014,0.95329,0.90226,0.96618,0.70612,0.94529,0.35624,0.00307,0.000184055,0.000184055,0.000184055
90,762.155,0.51941,0.23488,0.00137,0.97682,0.87355,0.96687,0.70849,0.94678,0.35833,0.00308,0.000169908,0.000169908,0.000169908
91,784.116,0.4812,0.22541,0.00151,0.97079,0.90362,0.97151,0.70867,0.93297,0.35613,0.003,0.000155761,0.000155761,0.000155761
92,791.643,0.4867,0.22416,0.00152,0.94155,0.9098,0.97133,0.70503,0.94713,0.36844,0.00303,0.000141614,0.000141614,0.000141614
93,799.4,0.478,0.2209,0.00147,0.95277,0.90763,0.96695,0.7034,0.93935,0.35778,0.00302,0.000127467,0.000127467,0.000127467
94,807.049,0.48353,0.23876,0.00149,0.96677,0.89881,0.96638,0.70535,0.93962,0.36356,0.003,0.00011332,0.00011332,0.00011332
95,814.558,0.46413,0.20515,0.00141,0.94456,0.92391,0.96943,0.70452,0.93564,0.36742,0.00303,9.91726e-05,9.91726e-05,9.91726e-05
96,822.111,0.46354,0.199,0.00141,0.95997,0.90751,0.96613,0.70414,0.93429,0.37386,0.00301,8.50255e-05,8.50255e-05,8.50255e-05
97,829.723,0.45717,0.22711,0.00147,0.94603,0.91491,0.96813,0.70203,0.93696,0.3713,0.00301,7.08784e-05,7.08784e-05,7.08784e-05
98,837.513,0.46986,0.21569,0.00141,0.94398,0.92975,0.96924,0.70682,0.93519,0.3662,0.003,5.67313e-05,5.67313e-05,5.67313e-05
99,845.021,0.4619,0.22694,0.00144,0.9476,0.92117,0.96943,0.70964,0.93117,0.36499,0.00297,4.25842e-05,4.25842e-05,4.25842e-05
100,852.554,0.45221,0.2128,0.00143,0.93579,0.91994,0.96182,0.70888,0.93484,0.36637,0.003,2.84371e-05,2.84371e-05,2.84371e-05
